longitud|latitud
-76.93054855894106|-12.027678482860342
-77.0023067516178|-12.055226221213841
-76.99881048547574|-12.100903485810871
-76.99870810492041|-12.100809743841893
-76.97282160146064|-12.101178882793322
-76.97324958113161|-12.1010365999244
-76.88614723822356|-12.020115341774863
-76.88529110864569|-12.023607072969478
-76.90927288700246|-12.026680177242996
-76.88398769999999|-12.0183476
-76.882182|-12.016766899999999
-76.88228972629396|-12.016778694080413
-76.85057974243179|-12.011856529363415
-76.85044864239148|-12.011884151965404
-76.82071473920642|-11.992112848576044
-76.89060420000001|-12.0202425
-76.9012776|-12.0272651
-76.8877486|-12.0308159
-76.8197462|-11.980978499999999
-76.88138677275538|-12.021286672963921
-76.88120494974768|-12.021388758396023
-76.88040437994398|-12.016225902396519
-76.7784997|-11.978817099999999
-76.90345063432376|-12.026984986540489
-76.8525208|-12.0136215
-76.85245480976072|-12.013618355335835
-76.85394113523908|-12.012278945687035
-76.88463605511103|-12.018521832746321
-76.9000113|-12.0258765
-77.0811914|-12.031678999999999
-77.1139709|-12.0579562
-77.07880193932489|-12.017863429351838
-77.07869040516955|-12.017855230965498
-77.11930079999999|-12.0703087
-77.09685356373798|-12.030741860022603
-77.07292509999999|-12.0146679
-77.07300712004853|-12.014608716093244
-77.09219477038243|-12.021990229655255
