longitud,latitud,tipo_lugar
-77.070729,-12.0635263,mercados
-77.0596796,-12.052313,mercados
-77.0597106169784,-12.052391455157947,mercados
-77.0719281,-12.0292478,mercados
-77.0779498,-12.061384799999999,mercados
-77.0625747,-12.0515441,mercados
-77.0716604,-12.028364499999999,mercados
-77.07820562559182,-12.054368472040357,mercados
-77.095296964689,-12.050764575098505,mercados
-77.09546801858711,-12.050770698642209,mercados
-77.05900869999999,-12.064425799999999,mercados
-77.077533,-12.0611137,mercados
-77.07754704237936,-12.061116189461375,mercados
-77.0705036,-12.0326253,mercados
-77.01256947090992,-12.030628692890195,mercados
-77.0305882,-12.0419106,mercados
-76.98421568477144,-12.061707680913267,mercados
-77.0164976,-12.0601688,mercados
-77.028339,-12.061657199999999,mercados
-76.9984448,-12.033652799999999,mercados
-77.0391516,-12.0449343,mercados
-77.0013384,-12.0317442,mercados
-77.03078889999999,-12.0366333,mercados
-77.01233940000002,-12.064380700000001,mercados
-77.02263090642163,-12.045151915756023,mercados
-77.0145707,-12.0266208,mercados
-77.0136995,-12.0351424,mercados
-77.01229074597683,-12.030958493764617,mercados
-77.0401164,-12.046097399999999,mercados
-77.04130830000001,-12.035812499999999,mercados
-77.01215429999999,-12.0656395,mercados
-77.01216430024898,-12.065567532097761,mercados
-77.0012699,-12.0458722,mercados
-77.01880950802435,-12.04037124552255,mercados
-77.03756609999999,-12.0274646,mercados
-76.9579554,-12.069182,mercados
-76.9097283,-12.0290138,mercados
-76.95042691429418,-12.031430080254921,mercados
-76.9606361,-12.0420758,mercados
-76.96020418434803,-12.042168236472381,mercados
-76.96123165026877,-12.040681917460919,mercados
-76.9544382,-12.0418785,mercados
-76.95440202189324,-12.041956968307392,mercados
-76.95906,-12.0554791,mercados
-76.9287686,-12.03703,mercados
-76.94584679989468,-12.043337893041361,mercados
-76.9544542,-12.041843799999999,mercados
-76.95444228572389,-12.041869610943325,mercados
-76.90816363554343,-12.029156063161162,mercados
-76.9454664,-12.034388,mercados
-76.9465666,-12.041699999999999,mercados
-76.94271189999999,-12.0592712,mercados
-76.91200248415858,-12.025717537397702,mercados
-76.9616346,-12.038904899999999,mercados
-76.9502711,-12.031368,mercados
-76.82379820000001,-12.0117462,mercados
-76.84403080000001,-12.0055642,mercados
-76.8257671,-12.007610699999999,mercados
-76.82456189999999,-12.0353552,mercados
-76.8867713215356,-12.019148240769928,mercados
-76.8927525,-12.041147800000001,mercados
-76.8961212,-12.0182226,mercados
-76.8908225,-12.031051699999999,mercados
-76.8908240478029,-12.031038437736422,mercados
-76.88824615110205,-12.007748727391625,mercados
-76.9193707,-12.025658900000002,mercados
-76.8885891055996,-12.046633379875795,mercados
-76.91353,-12.025157,mercados
-76.87180749333035,-12.02310804531368,mercados
-77.1337152,-11.941478199999999,mercados
-77.0832507,-11.995238899999999,mercados
-77.10896009999999,-11.9760271,mercados
-77.1180755,-11.998228899999999,mercados
-77.1183212,-11.998736899999999,mercados
-77.1064009,-11.990250099999999,mercados
-77.12339659999999,-11.997025899999999,mercados
-77.09819738412159,-11.991908997937225,mercados
-77.09220548348759,-11.965823934090048,mercados
-77.09097129999999,-11.9579609,mercados
-77.09969869999999,-11.977408,mercados
-77.08124939999999,-11.9904348,mercados
-77.1116837,-11.9931921,mercados
-77.10029588795014,-12.023276134459985,mercados
-77.09425456679912,-12.004072137180874,mercados
-77.0979117,-11.9835757,mercados
-77.10178375839511,-11.972084773963525,mercados
-77.0677456,-11.9890977,mercados
-77.0724377,-11.9867178,mercados
-77.0615765,-11.985895399999999,mercados
-77.0706462,-11.9713356,mercados
-77.06544090494744,-11.989071631786219,mercados
-77.0650299,-11.9810615,mercados
-77.06504855930977,-11.980980975165531,mercados
-77.0659891,-11.9485765,mercados
-77.0659873058209,-11.948585247052314,mercados
-77.07983674301674,-11.957133238911027,mercados
-77.07426749999999,-11.9594291,mercados
-77.06821939999999,-11.9472907,mercados
-77.0870011,-11.951911899999999,mercados
-77.0968936,-11.9815975,mercados
-76.9896624,-11.9624949,mercados
-76.98176983455213,-11.94904847420352,mercados
-77.0192989,-11.9765968,mercados
-76.989311223957,-11.96434587314566,mercados
-76.9830289,-11.9612561,mercados
-77.0050488,-11.966526,mercados
-76.99829076045928,-11.9772533665965,mercados
-76.9924772,-11.9566573,mercados
-76.9909947,-11.9666009,mercados
-76.99094881393393,-11.966539251319423,mercados
-76.98707254223304,-11.966332928670845,mercados
-76.99163898035964,-11.977119328640116,mercados
-77.00576319749588,-11.962187100400863,mercados
-76.9852657,-11.9681783,mercados
-76.98693949999999,-11.9508622,mercados
-77.00471689999999,-11.9674787,mercados
-77.01426887073336,-11.992100598128246,mercados
-77.0030246,-11.9909429,mercados
-76.9839078,-11.96042,mercados
-76.91819509999999,-11.9752954,mercados
-76.9097649,-11.979759099999999,mercados
-76.90977698496663,-11.979763222744571,mercados
-76.9164493,-11.980051399999999,mercados
-76.9395761,-11.9835541,mercados
-76.9680403,-11.935724299999999,mercados
-76.96794354668053,-11.93563311653159,mercados
-76.97771246955426,-11.98200012311801,mercados
-76.9636766,-12.0142788,mercados
-76.9489607,-12.0060326,mercados
-77.0057351,-12.019593600000002,mercados
-77.00604554030183,-12.019767352374329,mercados
-76.98491766669962,-12.01700491220581,mercados
-77.00279543873688,-12.024021400498901,mercados
-76.8197592,-11.9860458,mercados
-76.82066730302277,-11.986456024460312,mercados
-76.86893789999999,-11.994259399999999,mercados
-76.8689334325635,-11.994265586113963,mercados
-76.77273018570123,-11.976312084300945,mercados
-76.84351413230355,-12.005289645905759,mercados
-77.13270603049098,-11.885808197878374,mercados
-77.1254312,-11.88745,mercados
-77.12875869999999,-11.876680499999999,mercados
-77.1491315,-11.8602175,mercados
-77.12972392915434,-11.878995572972308,mercados
-77.157849,-11.8479809,mercados
