precio|enlace|descripcion|area|habitaciones|banios|pais|localidad|region|direccion|latitude|longitude
$ 580,000|/inmueble/a0b2-a2ed-7ac7e7cb-72bdf2953973-43d0|Casa en  El Sol De La Molina, Lima|454m2|5|5|PE|El Sol De La Molina, La Molina, Lima|Lima Departamento||-12.0835013|-76.9066711
$ 1,100,000|/inmueble/bbfc-9b6e-5fc93b5c-f533ecdee4bf-4178|Casa en  La Planicie, Lima|639m2|4|4|PE|La Planicie, La Molina, Lima|Lima Departamento||-12.074293577496803|-76.91363029181957
$ 300,000|/inmueble/383293|Casa en  Puerto Madero, Peru|200m2|5|5|PE|Mala, Cañete|Lima Departamento|Puerto Madero, Peru|-12.7061367|-76.6396165
$ 181,379.62|/inmueble/442979|Casa en  691, Cercado De Lima 15082, Perú|478m2|5|3|PE|Aurora, Miraflores, Lima|Lima Departamento|691, Cercado De Lima 15082, Perú|-12.046373|-77.042754
$ 549,000|/inmueble/7a7f-a86d-38a1b1ec-c4f0536714e6-4b81|Casa en  Camacho, Lima|300m2|4|3|PE|Camacho, La Molina, Lima|Lima Departamento||-12.0716313|-76.9650529
$ 368,000|/inmueble/542997|Casa en  San Luis, Lima|165m2|3|4|PE|San Luis, Lima|Lima Departamento||-12.0795799|-76.99299719999999
$ 499,000|/inmueble/622524|Casa en  Santiago De Surco, Lima|300m2|5|5|PE|Santiago de Surco, Lima|Lima Departamento||-12.08205|-76.976271
$ 345,000|/inmueble/622438|Casa en  Maranga, Lima|160m2|5|3|PE|Maranga, San Miguel, Lima|Lima Departamento||-12.078954|-77.101331
$ 110,000|/inmueble/465257|Casa en  Jose Ausejo Salas 456, Huacho 15137, Perú|150m2|4|2|PE|Huacho, Huaura|Lima Departamento|Jose Ausejo Salas 456, Huacho 15137, Perú|-11.102790840511952|-77.60656759142876
$ 630,000|/inmueble/465838|Casa en  Urb. La  Estancia Oeste La Molina, La Molina, Lima, Lima, Peru|423m2|5|4|PE|Camacho, La Molina, Lima|Lima Departamento|Urb. La  Estancia Oeste La Molina, La Molina, Lima, Lima, Peru|-12.082012176513672|-76.92821502685547
$ 420,000|/inmueble/11b7-a5b3-a6505c8c-77e475c5fc85-4deb|Casa en  Manco Ii, San Miguel, Perú|240.27m2|4|3|PE|Maranga, San Miguel, Lima|Lima Departamento|Manco Ii, San Miguel, Perú|-12.0775317|-77.1006132
$ 315,000|/inmueble/504452|Casa en  San Bartolo, Lima|360m2|4|4|PE|San Bartolo, Lima|Lima Departamento||-12.3829907|-76.78470159999999
