precio|enlace|descripcion|area|habitaciones|banios|pais|localidad|region|direccion|latitude|longitude
$ 230,000|/inmueble/437932|Departamento en  Paseo Parodi, Olavide, Distrito De San Isidro, Perú|121m2|3|2|PE|Corpac, San Isidro, Lima|Lima Departamento|Paseo Parodi, Olavide, Distrito De San Isidro, Perú|-12.0931637|-77.0306362
$ 58,000|/inmueble/a9be-8de7-eab47dab-84bac1554cb2-43d7|Departamento en  Aurora, Lima|77m2|2|1|PE|Aurora, Miraflores, Lima|Lima Departamento||-12.0302484|-77.0583599
$ 330,000|/inmueble/582417|Departamento en  San Borja, Lima|174m2|3|3|PE|San Borja, Lima|Lima Departamento||-12.1092322|-76.9828252
$ 75,000|/inmueble/cdab-9eb1-1f5335ee-461eda4281e5-4859|Departamento en  San Martin De Porres, Lima|89.06m2|3|3|PE|San Martin de Porres, Lima|Lima Departamento||-11.9626049|-77.089166
$ 256,000|/inmueble/16bf-a84e-1daa07ca-62713ca75c46-474d|Departamento en  Fray Angelico 168, Lima, Perú|99.75m2|3|2|PE|San Borja, Lima|Lima Departamento|Fray Angelico 168, Lima, Perú|-12.0949295|-76.9978809
$ 181,000|/inmueble/583731|Departamento en  Santiago De Surco, Lima|104m2|3|3|PE|Santiago de Surco, Lima|Lima Departamento||-12.1399361|-76.9978127
$ 89,990|/inmueble/585936|Departamento en  Chorrillos, Lima|71m2|3|2|PE|Chorrillos, Lima|Lima Departamento||-12.177785126545862|-77.01547175645828
$ 115,000|/inmueble/464715|Departamento en  Av. Tacna 402, San Miguel 15086, Perú|66.5m2|3|2|PE|Pando, San Miguel, Lima|Lima Departamento|Av. Tacna 402, San Miguel 15086, Perú|-12.090398504634829|-77.07875546067953
$ 105,000|/inmueble/576273|Departamento en  Federico Gallese, San Miguel, Perú|90m2|3|2|PE|Pando, San Miguel, Lima|Lima Departamento|Federico Gallese, San Miguel, Perú|-12.0917169|-77.0806249
$ 350,000|/inmueble/410991|Departamento en  Miraflores, Lima, Lima, Perú|260m2|3|2|PE|Cercado de Miraflores, Miraflores, Lima|Lima Departamento|Miraflores, Lima, Lima, Perú|-12.1218773|-77.03053899999999
$ 230,000|/inmueble/625858|Departamento en  Avenida Paseo De La República 6377, Miraflores, Perú|108m2|2|2|PE|San Antonio, Miraflores, Lima|Lima Departamento|Avenida Paseo De La República 6377, Miraflores, Perú|-12.1325221|-77.0213674
$ 225,000|/inmueble/491950|Departamento en  Calle General Borgoño, Miraflores, Perú|115m2|3|2|PE|Santa Cruz, Miraflores, Lima|Lima Departamento|Calle General Borgoño, Miraflores, Perú|-12.1148634|-77.033495
$ 600,000|/inmueble/87a9-995d-d40866b2-30a9578baecf-4789|Departamento en  Malecon Armendariz 183, Miraflores, Perú|287.69m2|3|2|PE|Armendáriz, Miraflores, Lima|Lima Departamento|Malecon Armendariz 183, Miraflores, Perú|-12.1361113|-77.02678279999999
$ 225,000|/inmueble/455676|Departamento en  Calle General Borgoño 446, Miraflores, Perú|115m2|3|25|PE|Santa Cruz, Miraflores, Lima|Lima Departamento|Calle General Borgoño 446, Miraflores, Perú|-12.1155249|-77.03317880000002
$ 510,000|/inmueble/444540|Departamento en  Melitón Porras, Miraflores, Perú|200m2|3|4|PE|Armendáriz, Miraflores, Lima|Lima Departamento|Melitón Porras, Miraflores, Perú|-12.133244|-77.0245306
$ 790,000|/inmueble/484483|Departamento en  Los Nogales, San Isidro, Perú|242m2|3|4|PE|Orrantia, San Isidro, Lima|Lima Departamento|Los Nogales, San Isidro, Perú|-12.0941648|-77.0447078
$ 328,500|/inmueble/8ad3-8233-9c4ac5d0-102a68aab674-476c|Departamento en  Sevilla 321, Miraflores, Perú|174m2|3|3|PE|Santa Cruz, Miraflores, Lima|Lima Departamento|Sevilla 321, Miraflores, Perú|-12.106231|-77.028928
$ 229,000|/inmueble/71f5-a1dc-9a492460-889e08d25dc9-4bba|Departamento en  Calle El Cerezo 395, Surquillo, Perú|150m2|4|3|PE|Surquillo, Lima|Lima Departamento|Calle El Cerezo 395, Surquillo, Perú|-12.1162836|-77.00428860000001
$ 128,000|/inmueble/617355|Departamento en  Av. Bolivar, Pueblo Libre, Perú|82.77m2|3|2|PE|Pueblo Libre, Lima|Lima Departamento|Av. Bolivar, Pueblo Libre, Perú|-12.0724072|-77.0658263
$ 360,000|/inmueble/614781|Departamento en  Santiago De Surco, Lima|185.69m2|4|2|PE|Santiago de Surco, Lima|Lima Departamento||-12.097095191091084|-76.97071943432093
$ 172,000|/inmueble/431826|Departamento en  Av Javier Prado Oeste 4, Cercado De Lima, Perú|85m2|3|2|PE|Magdalena del Mar, Lima|Lima Departamento|Av Javier Prado Oeste 4, Cercado De Lima, Perú|-12.0943265|-77.0498748
$ 320,000|/inmueble/9862-be1c-3c95e42c-410be39dad2f-45bc|Departamento en  Country Club, Lima|145m2|3|4|PE|Country Club, San Isidro, Lima|Lima Departamento||-12.0951109|-77.0543375
