Empresa	Medio de Acceso	Mes	Departamento	Conexiones		
TELEFÓNICA DEL PERÚ S.A.A.	Cable Coaxial	2015-02-01	cusco	"9,748"		
TELEFÓNICA DEL PERÚ S.A.A.	Cable Coaxial	2015-02-01	ica	1		
TELEFÓNICA DEL PERÚ S.A.A.	Cable Coaxial	2015-02-01	junín	"2,989"		
TELEFÓNICA DEL PERÚ S.A.A.	Cable Coaxial	2015-02-01	la libertad	"16,038"		
TELEFÓNICA DEL PERÚ S.A.A.	Cable Coaxial	2015-02-01	lambayeque	"8,940"		
TELEFÓNICA DEL PERÚ S.A.A.	Cable Coaxial	2015-02-01	lima	"391,569"		
TELEFÓNICA DEL PERÚ S.A.A.	Cable Coaxial	2015-02-01	moquegua	1		
TELEFÓNICA DEL PERÚ S.A.A.	Cable Coaxial	2015-02-01	piura	"5,151"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	amazonas	44		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	ANCASH	"8,837"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	apurímac	696		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	arequipa	"6,530"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	ayacucho	"2,379"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	cajamarca	"3,845"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	callao	"3,958"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	cusco	"2,615"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	huancavelica	323		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	huánuco	"2,189"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	ica	"11,254"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	junín	"5,578"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	la libertad	"11,532"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	lambayeque	"10,026"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	lima	"42,755"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	loreto	"3,403"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	madre de dios	506		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	moquegua	"2,258"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	pasco	358		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	piura	"10,750"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	puno	"4,429"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	san martín	"2,054"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	tacna	"3,234"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	tumbes	"1,916"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-02-01	ucayali	"2,684"		
TELEFÓNICA MULTIMEDIA S.A.C.	Cable Coaxial	2015-02-01	ANCASH	"2,213"		
TELEFÓNICA MULTIMEDIA S.A.C.	Cable Coaxial	2015-02-01	arequipa	"10,271"		
TELEFÓNICA MULTIMEDIA S.A.C.	Cable Coaxial	2015-02-01	callao	"14,887"		
TELEFÓNICA MULTIMEDIA S.A.C.	Cable Coaxial	2015-02-01	cusco	"9,479"		
TELEFÓNICA MULTIMEDIA S.A.C.	Cable Coaxial	2015-02-01	junín	"3,168"		
TELEFÓNICA MULTIMEDIA S.A.C.	Cable Coaxial	2015-02-01	la libertad	"9,826"		
TELEFÓNICA MULTIMEDIA S.A.C.	Cable Coaxial	2015-02-01	lambayeque	"7,394"		
TELEFÓNICA MULTIMEDIA S.A.C.	Cable Coaxial	2015-02-01	lima	"167,786"		
TELEFÓNICA MULTIMEDIA S.A.C.	Cable Coaxial	2015-02-01	piura	"2,667"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	amazonas	587		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	ANCASH	"3,975"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	apurímac	780		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	arequipa	"4,104"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	ayacucho	"2,350"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	cajamarca	"4,118"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	callao	"1,210"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	cusco	"3,939"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	huancavelica	185		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	huánuco	"1,756"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	ica	"6,007"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	junín	"3,791"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	la libertad	"3,099"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	lambayeque	"3,313"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	lima	"19,460"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	loreto	"1,730"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	madre de dios	912		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	moquegua	"1,522"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	pasco	727		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	piura	"2,964"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	puno	"1,493"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	san martín	"1,787"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	tacna	768		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	tumbes	691		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-02-01	ucayali	"1,570"		
TELEVISION MINERA S.R.L.	Cable Coaxial	2015-02-01	junín	400		
TV - CABLE - CATACAOS E.I.R.L.	Cable Coaxial	2015-02-01	piura	670		
TV BELLAVISTA E.I.R.L.	Cable Coaxial	2015-02-01	san martín	567		
TV MÁGICO E.I.R.L.	Cable Coaxial	2015-02-01	piura	510		
VIP CHANNEL S.A.C.	Cable Coaxial	2015-02-01	lima	"2,700"		
VIVIANA MARINA RODRÍGUEZ VIENA	Cable Coaxial	2015-02-01	loreto	"1,734"		
A & P SERVITEL S.A.C.	Cable Coaxial	2015-03-01	junín	162		
"AIQUE VARGAS, GERMAN"	Cable Coaxial	2015-03-01	san martín	258		
AMAZONIA T.V. S.R.LTDA	Cable Coaxial	2015-03-01	san martín	"1,516"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-03-01	ANCASH	"1,392"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-03-01	arequipa	"4,420"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-03-01	cajamarca	"1,781"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-03-01	callao	"7,653"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-03-01	cusco	"1,278"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-03-01	huánuco	905		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-03-01	ica	"2,420"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-03-01	junín	591		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-03-01	la libertad	"8,836"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-03-01	lambayeque	"6,185"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-03-01	lima	"88,867"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-03-01	madre de dios	808		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-03-01	moquegua	455		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-03-01	piura	"4,253"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-03-01	puno	271		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-03-01	tacna	"2,183"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-03-01	tumbes	616		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-03-01	ucayali	454		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	amazonas	"2,208"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	ANCASH	"4,698"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	apurímac	"1,511"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	arequipa	"7,817"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	ayacucho	"1,844"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	cajamarca	"4,281"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	callao	"1,343"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	cusco	"3,250"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	huancavelica	916		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	huánuco	"2,553"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	ica	"3,178"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	junín	"4,529"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	la libertad	"6,736"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	lambayeque	"3,465"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	lima	"16,757"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	loreto	"2,489"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	madre de dios	"1,015"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	moquegua	"1,737"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	pasco	975		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	piura	"9,217"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	puno	"3,780"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	san martín	"2,235"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	tacna	"1,934"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	tumbes	"1,211"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-03-01	ucayali	"2,124"		
ANDRES CULQUI CULQUI	Cable Coaxial	2015-03-01	loreto	280		
ANIBAL ESTRELLA CARTAGENA	Cable Coaxial	2015-03-01	san martín	562		
ASOCIACIÓN DE CABLE VISION SAN JACINTO	Cable Coaxial	2015-03-01	ANCASH	"1,108"		
BASILES AREVALO FLORES	Cable Coaxial	2015-03-01	san martín	180		
CABLE JAEN S.R.L.	Cable Coaxial	2015-03-01	cajamarca	"3,471"		
CABLE SUR TELECOMUNICACIONES S.A.C.	Cable Coaxial	2015-03-01	ica	"1,705"		
CABLE VISIÓN HUÁNUCO E.I.R.L.	Cable Coaxial	2015-03-01	huánuco	"5,677"		
CABLE VISIÓN HUÁNUCO E.I.R.L.	Cable Coaxial	2015-03-01	junín	"1,121"		
CABLE VISION IQUITOS S.A.C.	Cable Coaxial	2015-03-01	loreto	"9,050"		
CABLE YURIMAGUAS S.R.L.	Cable Coaxial	2015-03-01	loreto	"3,518"		
CABLEMAX E.I.R.L	Cable Coaxial	2015-03-01	piura	"1,595"		
CABLENORTV S.A.C.	Cable Coaxial	2015-03-01	lambayeque	"1,102"		
CATV SYSTEMS E.I.R.L.	Cable Coaxial	2015-03-01	ANCASH	961		
CATV SYSTEMS E.I.R.L.	Cable Coaxial	2015-03-01	callao	"4,961"		
CATV SYSTEMS E.I.R.L.	Cable Coaxial	2015-03-01	lambayeque	"3,538"		
CATV SYSTEMS E.I.R.L.	Cable Coaxial	2015-03-01	lima	"30,442"		
CHAVEZ SUING ROLANDO AZEN	Cable Coaxial	2015-03-01	la libertad	120		
CJG CABLE S.R.L.	Cable Coaxial	2015-03-01	pasco	727		
COMUNICACIONES PORCÓN S.A.C.	Cable Coaxial	2015-03-01	cajamarca	"5,120"		
CONEXION ACTIVA S.R.L.	Cable Coaxial	2015-03-01	la libertad	403		
DEMETRIO RIGOBERTO PICON ACOSTA	Cable Coaxial	2015-03-01	lima	"1,140"		
DIRECTV PERU S.R.L	satelital	2015-03-01	amazonas	"3,242"		
DIRECTV PERU S.R.L	satelital	2015-03-01	ANCASH	"3,494"		
DIRECTV PERU S.R.L	satelital	2015-03-01	apurímac	"3,014"		
DIRECTV PERU S.R.L	satelital	2015-03-01	arequipa	"14,758"		
DIRECTV PERU S.R.L	satelital	2015-03-01	ayacucho	"5,781"		
DIRECTV PERU S.R.L	satelital	2015-03-01	cajamarca	"6,382"		
DIRECTV PERU S.R.L	satelital	2015-03-01	callao	"4,582"		
DIRECTV PERU S.R.L	satelital	2015-03-01	cusco	"8,979"		
DIRECTV PERU S.R.L	satelital	2015-03-01	huancavelica	"2,307"		
DIRECTV PERU S.R.L	satelital	2015-03-01	huánuco	"2,316"		
DIRECTV PERU S.R.L	satelital	2015-03-01	ica	"11,475"		
DIRECTV PERU S.R.L	satelital	2015-03-01	junín	"7,770"		
DIRECTV PERU S.R.L	satelital	2015-03-01	la libertad	"6,936"		
DIRECTV PERU S.R.L	satelital	2015-03-01	lambayeque	"3,253"		
DIRECTV PERU S.R.L	satelital	2015-03-01	lima	"82,944"		
DIRECTV PERU S.R.L	satelital	2015-03-01	loreto	"4,551"		
DIRECTV PERU S.R.L	satelital	2015-03-01	madre de dios	"4,419"		
DIRECTV PERU S.R.L	satelital	2015-03-01	moquegua	"2,123"		
DIRECTV PERU S.R.L	satelital	2015-03-01	pasco	"2,038"		
DIRECTV PERU S.R.L	satelital	2015-03-01	piura	"6,854"		
DIRECTV PERU S.R.L	satelital	2015-03-01	puno	"8,073"		
DIRECTV PERU S.R.L	satelital	2015-03-01	san martín	"2,722"		
DIRECTV PERU S.R.L	satelital	2015-03-01	tacna	"2,691"		
DIRECTV PERU S.R.L	satelital	2015-03-01	tumbes	563		
DIRECTV PERU S.R.L	satelital	2015-03-01	ucayali	"3,656"		
ELVIS CIRINEO LEON MONTERO	Cable Coaxial	2015-03-01	junín	228		
FRANCISCO HUGO MENA TIPTO	Cable Coaxial	2015-03-01	cusco	747		
HOMETV S.A.C.	Cable Coaxial	2015-03-01	cajamarca	"1,213"		
HOMETV S.A.C.	Cable Coaxial	2015-03-01	lambayeque	"1,763"		
INVERSIONES Y REPRESENTACIONES DOBLE C E.I.R.L.	Cable Coaxial	2015-03-01	loreto	667		
LEYDI VISIÓN E.I.R.L.	Cable Coaxial	2015-03-01	ANCASH	"2,017"		
MAGRO Y CARDENAS VISTA TV EIRL	Cable Coaxial	2015-03-01	lima	132		
PARABOLICA TV S.A.C.	Cable Coaxial	2015-03-01	piura	"4,451"		
RED INTERCABLE PERU S.A.C.	Cable Coaxial	2015-03-01	huancavelica	999		
RED INTERCABLE PERU S.A.C.	Cable Coaxial	2015-03-01	junín	"2,728"		
SISTEMA DE FIBRA OPTICA  Y TELECOMUNICACIONES S.A.C.	Cable Coaxial	2015-03-01	lima	134		
STAR GLOBAL COM S.A.C.	Cable Coaxial	2015-03-01	arequipa	"15,278"		
STAR GLOBAL COM S.A.C.	Cable Coaxial	2015-03-01	tacna	"8,983"		
SUPERCABLE TELEVISION S.R.LTDA.	Cable Coaxial	2015-03-01	piura	"19,725"		
TELECABLE PAITA S.R.L.	Cable Coaxial	2015-03-01	piura	"1,971"		
TELEFÓNICA DEL PERÚ S.A.A.	Cable Coaxial	2015-03-01	ANCASH	"3,314"		
TELEFÓNICA DEL PERÚ S.A.A.	Cable Coaxial	2015-03-01	arequipa	"22,731"		
TELEFÓNICA DEL PERÚ S.A.A.	Cable Coaxial	2015-03-01	callao	"28,657"		
TELEFÓNICA DEL PERÚ S.A.A.	Cable Coaxial	2015-03-01	cusco	"9,902"		
TELEFÓNICA DEL PERÚ S.A.A.	Cable Coaxial	2015-03-01	junín	"3,063"		
TELEFÓNICA DEL PERÚ S.A.A.	Cable Coaxial	2015-03-01	la libertad	"16,454"		
TELEFÓNICA DEL PERÚ S.A.A.	Cable Coaxial	2015-03-01	lambayeque	"8,965"		
TELEFÓNICA DEL PERÚ S.A.A.	Cable Coaxial	2015-03-01	lima	"396,982"		
TELEFÓNICA DEL PERÚ S.A.A.	Cable Coaxial	2015-03-01	moquegua	1		
TELEFÓNICA DEL PERÚ S.A.A.	Cable Coaxial	2015-03-01	piura	"5,265"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	amazonas	42		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	ANCASH	"9,424"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	apurímac	760		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	arequipa	"7,200"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	ayacucho	"2,592"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	cajamarca	"4,073"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	callao	"4,310"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	cusco	"2,758"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	huancavelica	359		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	huánuco	"2,332"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	ica	"11,659"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	junín	"5,828"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	la libertad	"12,133"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	lambayeque	"10,708"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	lima	"45,849"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	loreto	"3,579"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	madre de dios	516		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	moquegua	"2,345"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	pasco	394		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	piura	"11,722"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	puno	"4,804"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	san martín	"2,309"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	tacna	"3,490"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	tumbes	"2,137"		
TELEFÓNICA DEL PERÚ S.A.A.	satelital	2015-03-01	ucayali	"2,866"		
TELEFÓNICA MULTIMEDIA S.A.C.	Cable Coaxial	2015-03-01	ANCASH	"2,187"		
TELEFÓNICA MULTIMEDIA S.A.C.	Cable Coaxial	2015-03-01	arequipa	"10,197"		
TELEFÓNICA MULTIMEDIA S.A.C.	Cable Coaxial	2015-03-01	callao	"15,637"		
TELEFÓNICA MULTIMEDIA S.A.C.	Cable Coaxial	2015-03-01	cusco	"9,501"		
TELEFÓNICA MULTIMEDIA S.A.C.	Cable Coaxial	2015-03-01	junín	"3,156"		
TELEFÓNICA MULTIMEDIA S.A.C.	Cable Coaxial	2015-03-01	la libertad	"9,750"		
TELEFÓNICA MULTIMEDIA S.A.C.	Cable Coaxial	2015-03-01	lambayeque	"7,326"		
TELEFÓNICA MULTIMEDIA S.A.C.	Cable Coaxial	2015-03-01	lima	"169,060"		
TELEFÓNICA MULTIMEDIA S.A.C.	Cable Coaxial	2015-03-01	piura	"2,648"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	amazonas	586		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	ANCASH	"3,968"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	apurímac	765		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	arequipa	"4,101"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	ayacucho	"2,349"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	cajamarca	"4,133"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	callao	"1,187"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	cusco	"3,839"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	huancavelica	197		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	huánuco	"1,776"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	ica	"5,946"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	junín	"3,898"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	la libertad	"3,053"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	lambayeque	"3,227"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	lima	"19,900"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	loreto	"1,700"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	madre de dios	906		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	moquegua	"1,518"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	pasco	719		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	piura	"2,942"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	puno	"1,491"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	san martín	"1,793"		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	tacna	768		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	tumbes	695		
TELEFÓNICA MULTIMEDIA S.A.C.	satelital	2015-03-01	ucayali	"1,568"		
TELEVISION MINERA S.R.L.	Cable Coaxial	2015-03-01	junín	400		
TV - CABLE - CATACAOS E.I.R.L.	Cable Coaxial	2015-03-01	piura	654		
TV BELLAVISTA E.I.R.L.	Cable Coaxial	2015-03-01	san martín	553		
TV MÁGICO E.I.R.L.	Cable Coaxial	2015-03-01	piura	507		
VIP CHANNEL S.A.C.	Cable Coaxial	2015-03-01	lima	"2,500"		
VIVIANA MARINA RODRÍGUEZ VIENA	Cable Coaxial	2015-03-01	loreto	"1,734"		
A & P SERVITEL S.A.C.	Cable Coaxial	2015-04-01	junín	160		
"AIQUE VARGAS, GERMAN"	Cable Coaxial	2015-04-01	san martín	254		
AMAZONIA T.V. S.R.LTDA	Cable Coaxial	2015-04-01	san martín	"1,536"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-04-01	ANCASH	"1,424"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-04-01	arequipa	"4,684"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-04-01	cajamarca	"1,844"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-04-01	callao	"8,988"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-04-01	cusco	"1,325"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-04-01	huánuco	993		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-04-01	ica	"2,448"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-04-01	junín	645		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-04-01	la libertad	"9,909"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-04-01	lambayeque	"5,563"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-04-01	lima	"86,094"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-04-01	madre de dios	815		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-04-01	moquegua	522		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-04-01	piura	"4,448"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-04-01	puno	319		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-04-01	tacna	"2,324"		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-04-01	tumbes	724		
AMERICA MOVIL PERU S.A.C.	Cable Coaxial	2015-04-01	ucayali	566		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	amazonas	"2,197"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	ANCASH	"4,565"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	apurímac	"1,445"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	arequipa	"7,749"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	ayacucho	"1,807"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	cajamarca	"4,233"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	callao	"1,305"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	cusco	"3,185"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	huancavelica	860		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	huánuco	"2,394"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	ica	"3,028"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	junín	"4,355"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	la libertad	"6,694"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	lambayeque	"3,356"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	lima	"16,741"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	loreto	"2,311"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	madre de dios	970		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	moquegua	"1,760"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	pasco	967		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	piura	"9,031"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	puno	"3,658"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	san martín	"2,198"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	tacna	"1,910"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	tumbes	"1,213"		
AMERICA MOVIL PERU S.A.C.	satelital	2015-04-01	ucayali	"2,219"		
ANDRES CULQUI CULQUI	Cable Coaxial	2015-04-01	loreto	280		
ANIBAL ESTRELLA CARTAGENA	Cable Coaxial	2015-04-01	san martín	551		
ASOCIACIÓN DE CABLE VISION SAN JACINTO	Cable Coaxial	2015-04-01	ANCASH	"1,112"		
BASILES AREVALO FLORES	Cable Coaxial	2015-04-01	san martín	170		
CABLE SUR TELECOMUNICACIONES S.A.C.	Cable Coaxial	2015-04-01	ica	"1,610"		
CABLE VISIÓN HUÁNUCO E.I.R.L.	Cable Coaxial	2015-04-01	huánuco	"5,685"		
CABLE VISIÓN HUÁNUCO E.I.R.L.	Cable Coaxial	2015-04-01	junín	"1,120"		
