Empresa	Medio de Acceso	Mes	Departamento	Conexiones		
BENJAMÍN SEGUNDO CARDENAS SALDAÑA 		2004-02-01	LIMA	788		
BOGA COMUNICACIONES S.A.		2004-02-01	LAMBAYEQUE	"4,330"		
BOGA COMUNICACIONES S.A.		2004-02-01	LIMA	"12,090"		
CABLE CLUB S.R.L.		2004-02-01	MOQUEGUA	535		
CABLE CLUB S.R.L.		2004-02-01	TACNA	307		
CABLE JAEN S.R.L.		2004-02-01	CAJAMARCA	926		
CABLE JUNIOR S.A.		2004-02-01	ICA	"1,667"		
"CABLE ORIENTE S.A. (ahora, CABLE ORIENTE PERUANO S.A.C.)"		2004-02-01	UCAYALI	543		
CABLE SISTEMAS S.R.L.		2004-02-01	APURÍMAC	127		
CABLE TELEVISIÓN PAIJAN E.I.R.L		2004-02-01	LA LIBERTAD	420		
CABLE VIDEO PERÚ S.A.C.		2004-02-01	LIMA	641		
CABLE VISIÓN CÁRDENAS E.I.R.L		2004-02-01	SAN MARTÍN	339		
CABLE VISIÓN CHACHAPOYAS E.I.R.L		2004-02-01	AMAZONAS	941		
CABLE VISIÓN DEL CENTRO S.R.L.		2004-02-01	AYACUCHO	"2,387"		
CABLE VISIÓN DEL NORTE S.A.C.		2004-02-01	LA LIBERTAD	"2,232"		
CABLE VISION HUANUCO S.A.C. 		2004-02-01	HUÁNUCO	"4,138"		
CABLE VISION HUANUCO S.A.C. 		2004-02-01	JUNÍN	734		
CABLE VISION TUMBES S.A.C		2004-02-01	TUMBES	"1,813"		
CABLE VISION ZARUMILLA S.A.C.		2004-02-01	TUMBES	"1,261"		
CABLE YURIMAGUAS S.R.L.		2004-02-01	LORETO	"1,235"		
CABLE ZOFRI S.R.L.		2004-02-01	AREQUIPA	640		
CABLE ZOFRI S.R.L.		2004-02-01	MOQUEGUA	"1,769"		
CABLENORTV S.A.C.		2004-02-01	LAMBAYEQUE	70		
CÉSAR HUMBERTO MINAYA VELÁSQUEZ (T.V CABLE SAYAN)		2004-02-01	LIMA	290		
CJG CABLE S.R.L.		2004-02-01	PASCO	332		
DANTE DANIEL DE LA CRUZ CASTRO		2004-02-01	LIMA	257		
ECONOCABLE PERÚ S.A.C.		2004-02-01	APURÍMAC	478		
ECONOCABLE S.A.C.		2004-02-01	MADRE DE DIOS	"2,871"		
ELVIS CIRINEO LEON MONTERO		2004-02-01	JUNÍN	143		
ELVIS WILBERT CERNA ERAZO		2004-02-01	PIURA	30		
EMPRESA DE SERVICIOS T.V. CABLE ANDAHUASI S.A.		2004-02-01	LIMA	600		
EMPRESA DE TELECOMUNICACIONES MULTIMEDIA ALFA E.I.R.L.		2004-02-01	LIMA	503		
EMPRESA DE TV Y RADIODIFUSION BAHIA E.I.R.L.		2004-02-01	ICA	"1,049"		
ENELIDA CABANILLAS ALAYO DE GONZALES		2004-02-01	UCAYALI	231		
EVELYN S.A.C. 		2004-02-01	SAN MARTÍN	642		
GENARO CABRERA CABANILLAS		2004-02-01	LA LIBERTAD	167		
H&C T.V. S.A.		2004-02-01	LIMA	"1,506"		
HELMER GODOFREDO FERNANDEZ DE LA CRUZ		2004-02-01	LIMA	275		
ISIDRO ALBERTO CABANILLAS URBINA		2004-02-01	LA LIBERTAD	407		
J.R. TELECOM S.R.L.		2004-02-01	LIMA	"3,830"		
JOSÉ MILTON BENITES PANTOJA		2004-02-01	ANCASH	520		
JULIO CÉSAR SILVA REINA		2004-02-01	AMAZONAS	30		
KOREA PERÚ S.A. (KOPESA) 		2004-02-01	LIMA	386		
LUIS GONZALO FUENTES SOTELO 		2004-02-01	LIMA	718		
MERY ESTHER ORCHARD CHILMAZA		2004-02-01	LA LIBERTAD	570		
MULTIVISIÓN S.R.L.		2004-02-01	AREQUIPA	121		
NEOMICIA DEL ÁGUILA PINTO DE MORI		2004-02-01	SAN MARTÍN	131		
ORLANDO GONZALES CABRERA		2004-02-01	LA LIBERTAD	319		
PARABOLICA TV S.A.C.		2004-02-01	PIURA	"1,490"		
PATELCOM S.R.L.		2004-02-01	LIMA	305		
PEDRO JUAN LACA BUENDÍA		2004-02-01	LAMBAYEQUE	180		
PEDRO MARTÍN FUENTES SOTELO 		2004-02-01	LIMA	594		
RADIO TV H.P.CH. E.I.R.L.		2004-02-01	LIMA	"2,448"		
SERVICIOS CABLE SUR S.A.C.		2004-02-01	ICA	"3,188"		
STAR GLOBAL COM S.A.C.		2004-02-01	AREQUIPA	"7,005"		
STAR GLOBAL COM S.A.C.		2004-02-01	TACNA	"5,056"		
